city,total,male,male_no_schooling_completed,male_nursery_to_4th_grade,male_5th_and_6th_grade,male_7th_and_8th_grade,male_9th_grade,male_10th_grade,male_11th_grade,male_12th_grade_no_diploma,male_high_school_graduate_(includes_equivalency),male_some_college_less_than_1_year,male_some_college_1_or_more_years_no_degree,male_associates_degree,male_bachelors_degree,male_masters_degree,male_professional_school_degree,male_doctorate_degree,female,female_no_schooling_completed,female_nursery_to_4th_grade,female_5th_and_6th_grade,female_7th_and_8th_grade,female_9th_grade,female_10th_grade,female_11th_grade,female_12th_grade_no_diploma,female_high_school_graduate_(includes_equivalency),female_some_college_less_than_1_year,female_some_college_1_or_more_years_no_degree,female_associates_degree,female_bachelors_degree,female_masters_degree,female_professional_school_degree,female_doctorate_degree
Allen,70744,34536,313,30,127,110,77,99,219,358,4255,1273,4304,2270,12354,6747,1087,913,36208,445,33,71,110,84,59,55,696,4918,2086,5745,3286,11395,5970,786,469
Anna,13024,5940,0,0,97,90,0,60,71,28,1550,603,823,593,1514,420,91,0,7084,21,0,335,0,0,127,0,17,1602,255,1187,983,1590,882,64,21
Blue Ridge,705,324,17,0,4,4,10,7,0,4,131,42,41,31,27,2,4,0,381,3,0,7,15,3,2,6,0,140,30,77,41,56,1,0,0
Carrollton,95058,46181,1393,214,1023,376,401,376,278,845,8486,2921,6477,3388,13362,4685,1197,759,48877,1371,261,847,291,567,300,294,1207,8454,3258,7243,3662,14255,5157,899,811
Celina,17543,8790,19,0,189,0,39,130,1,238,1261,338,1410,890,2785,1101,314,75,8753,44,20,8,0,0,14,0,178,1212,336,793,893,3813,1287,128,27
Dallas,859929,426777,17404,7378,17524,8247,13070,7981,7012,9973,91147,18531,49354,20035,96224,39801,16524,6572,433152,14531,7283,13054,8626,10747,6514,7332,8657,93572,22223,53794,24096,100783,43253,12908,5779
Fairview,7852,3651,0,0,0,54,0,0,0,39,327,64,409,280,1498,734,164,82,4201,56,0,0,0,0,0,52,24,708,225,569,200,1696,594,64,13
Farmersville,2376,964,32,54,95,0,83,132,0,43,78,91,187,29,112,28,0,0,1412,18,6,83,15,0,22,180,0,598,0,170,247,47,15,0,11
Frisco,136812,66374,601,16,93,272,43,165,99,556,5916,2859,6243,3406,25693,16784,2336,1292,70438,826,126,305,253,159,192,359,975,7256,3077,7028,5735,27014,14730,1540,863
Garland,156683,76193,3692,1383,2664,1832,1882,1729,1340,1937,20285,4202,11073,5538,12190,4712,708,1026,80490,3799,1347,2417,1683,1982,1229,1457,1898,19701,5296,12044,7086,13334,5988,618,611
