city,total,in_family_households,in_married-couple_family,in_married-couple_family_relatives,in_married-couple_family_nonrelatives,in_male_householder_no_spouse_present_family,in_male_householder_no_spouse_present_family_relatives,in_male_householder_no_spouse_present_family_nonrelatives,in_female_householder_no_spouse_present_family,in_female_householder_no_spouse_present_family_relatives,in_female_householder_no_spouse_present_family_nonrelatives,in_nonfamily_households
Allen,107310,97364,83076,82548,528,3703,3386,317,10585,10248,337,9946
Anna,20975,19663,15969,15955,14,512,480,32,3182,2985,197,1312
Blue Ridge,1135,973,542,535,7,160,130,30,271,238,33,162
Carrollton,131978,111345,85508,85073,435,7288,6776,512,18549,17150,1399,20633
Celina,27033,25884,23357,23307,50,228,228,0,2299,2299,0,1149
Dallas,1282871,986486,632603,627965,4638,97791,88052,9739,256092,243831,12261,296385
Fairview,10570,8994,8083,8083,0,46,46,0,865,840,25,1576
Farmersville,3802,3429,1852,1824,28,369,291,78,1208,1066,142,373
Frisco,209736,187432,165911,165262,649,7048,6456,592,14473,13655,818,22304
Garland,244471,218244,150511,149434,1077,21412,19560,1852,46321,44205,2116,26227
Hebron,245,219,200,200,0,5,5,0,14,14,0,26
Josephine,4498,4185,3294,3294,0,339,304,35,552,539,13,313
Lavon,5624,5205,4047,4047,0,260,198,62,898,806,92,419
Lowry Crossing,1842,1725,1492,1487,5,84,78,6,149,149,0,117
Lucas,8024,7555,7326,7326,0,144,144,0,85,85,0,469
McKinney,200437,178764,145611,144877,734,9054,8125,929,24099,22689,1410,21673
Melissa,17497,16683,14483,14483,0,632,632,0,1568,1480,88,814
Murphy,21001,20674,17703,17703,0,846,806,40,2125,2068,57,327
Nevada,1292,1192,1103,1098,5,14,14,0,75,60,15,100
New Hope,705,549,495,495,0,8,8,0,46,46,0,156
Parker,5776,5705,5436,5436,0,182,170,12,87,87,0,71
Plano,286300,242903,194118,193288,830,14526,12807,1719,34259,31966,2293,43397
Princeton,20914,19344,14780,14704,76,1756,1524,232,2808,2681,127,1570
Prosper,34567,33234,29569,29289,280,1555,1259,296,2110,1909,201,1333
Richardson,114008,90217,69920,69574,346,5273,4624,649,15024,14438,586,23791
Royse City,17317,15463,12326,12310,16,650,482,168,2487,2424,63,1854
