campus_number,district_number,campus_name,district_name,teacher_total_full_time_equiv_count,support_total_full_time_equiv_count,school_admin_total_full_time_equiv_count,educ_aide_total_full_time_equiv_count,teacher_beginning_full_time_equiv_count,teacher_1-5_years_full_time_equiv_count,teacher_6-10_years_full_time_equiv_count,teacher_11-20_years_full_time_equiv_count,teacher_21-30_years_full_time_equiv_count,teacher_>_30_years_full_time_equiv_count,teacher_no_degree_full_time_equiv_count,teacher_ba_degree_full_time_equiv_count,teacher_ms_degree_full_time_equiv_count,teacher_ph_degree_full_time_equiv_count,professional_total_full_time_equiv_count,all_staff_total_full_time_equiv_count,counselor_total_part_time_equiv_count,counselor_total_full_time_equiv_count,librarian_total_part_time_equiv_count,librarian_total_full_time_equiv_count,support_total_base_salary_average,school_admin_total_base_salary_average,teacher_total_base_salary_average,teacher_beginning_base_salary_average,teacher_1-5_years_base_salary_average,teacher_6-10_years_base_salary_average,teacher_11-20_years_base_salary_average,teacher_21-30_years_base_salary_average,teacher_>_30_years_base_salary_average,teacher_american_indian_full_time_equiv_count,teacher_pacific_islander_full_time_equiv_count,teacher_asian_full_time_equiv_count,teacher_african_american_full_time_equiv_count,teacher_hispanic_full_time_equiv_count,teacher_white_full_time_equiv_count,teacher_two_or_more_races_full_time_equiv_count,teacher_male_full_time_equiv_count,teacher_female_full_time_equiv_count,teacher_tenure_average,teacher_experience_average,teacher_regular_program_full_time_equiv_count,teacher_career_&_technical_prgms_full_time_equiv_count,teacher_bilingual_program_full_time_equiv_count,teacher_compensatory_program_full_time_equiv_count,teacher_gifted_&_talented_program_full_time_equiv_count,teacher_special_education_full_time_equiv_count,teacher_other_full_time_equiv_count,contract_serv_total_full_time_equiv_count,principal_experience_average,principal_tenure_average,assistant_principal_experience_average,assistant_principal_tenure_average,all_staff_minority_full_time_equiv_count,teacher_total_full_time_equiv_percent,support_total_full_time_equiv_percent,school_admin_total_full_time_equiv_percent,educ_aide_total_full_time_equiv_percent,professional_total_full_time_equiv_percent,all_staff_minority_full_time_equiv_percent,teacher_beginning_full_time_equiv_percent,teacher_1-5_years_full_time_equiv_percent,teacher_6-10_years_full_time_equiv_percent,teacher_11-20_years_full_time_equiv_percent,teacher_21-30_years_full_time_equiv_percent,teacher_>_30_years_full_time_equiv_percent,teacher_regular_program_full_time_equiv_percent,teacher_career_&_technical_prgms_full_time_equiv_percent,teacher_bilingual_program_full_time_equiv_percent,teacher_compensatory_program_full_time_equiv_percent,teacher_gifted_&_talented_program_full_time_equiv_percent,teacher_special_education_full_time_equiv_percent,teacher_other_full_time_equiv_percent,teacher_no_degree_full_time_equiv_percent,teacher_ba_degree_full_time_equiv_percent,teacher_ms_degree_full_time_equiv_percent,teacher_ph_degree_full_time_equiv_percent,teacher_white_full_time_equiv_percent,teacher_african_american_full_time_equiv_percent,teacher_hispanic_full_time_equiv_percent,teacher_pacific_islander_full_time_equiv_percent,teacher_american_indian_full_time_equiv_percent,teacher_asian_full_time_equiv_percent,teacher_two_or_more_races_full_time_equiv_percent,teacher_male_full_time_equiv_percent,teacher_female_full_time_equiv_percent,teacher_student_ratio
43901001,43901,ALLEN H S,ALLEN ISD,274.7,50.1,11.1,33.7,13.9,51.7,66.7,87.9,46.7,7.8,1.4,152.9,115.5,4.9,335.9,369.5,0,22,0,1,79570,110992,67424,57519,63194,65605,69581,71710,78739,6.0,2.9,9.2,18.7,16.4,218.0,3.6,107.5,167.2,6.9,13.1,198.4,37.8,4.6,0.0,4.1,29.3,0.5,2.0,8.0,8.0,5.5,3.4,85.6,74.3,13.6,3.0,9.1,90.9,23.2,5.1,18.8,24.3,32.0,17.0,2.8,72.2,13.8,1.7,0.0,1.5,10.7,0.2,0.5,55.7,42.1,1.8,79.4,6.8,6.0,1.0,2.2,3.4,1.3,39.1,60.9,19.2
43902001,43902,ANNA H S,ANNA ISD,89.0,11.2,4.1,15.5,6.1,21.6,22.1,31.4,7.0,0.9,1.8,50.7,35.7,0.9,104.3,119.8,0,6,0,0,86803,106334,71506,64958,66508,68018,76658,79216,82251,0.9,0.0,2.5,7.8,10.8,67.1,0.0,34.9,54.1,2.7,10.7,47.5,18.4,1.2,0.6,0.0,12.3,9.0,0.0,4.0,2.0,4.8,2.5,34.5,74.3,9.3,3.4,12.9,87.1,28.8,6.8,24.3,24.9,35.3,7.8,1.0,53.4,20.7,1.3,0.7,0.0,13.8,10.1,2.0,56.9,40.1,1.0,75.3,8.8,12.1,0.0,1.0,2.8,0.0,39.3,60.7,16.7
43903001,43903,CELINA H S,CELINA ISD,76.7,8.9,7.2,7.2,5.0,13.6,18.0,26.1,13.0,1.0,1.9,48.4,26.2,0.2,92.8,100.1,0,3,0,1,75025,90522,61883,56328,56038,62113,62676,66942,78394,0.0,0.0,0.0,1.0,4.5,70.2,1.0,34.6,42.1,5.3,12.2,48.4,14.6,1.0,0.0,0.3,6.9,5.5,0.0,9.0,1.0,4.3,4.0,9.4,76.7,8.9,7.2,7.2,92.8,9.4,6.5,17.7,23.5,34.1,16.9,1.3,63.1,19.0,1.3,0.0,0.4,9.0,7.2,2.5,63.1,34.1,0.3,91.5,1.3,5.9,0.0,0.0,0.0,1.3,45.1,54.9,15.3
43904001,43904,FARMERSVILLE H S,FARMERSVILLE ISD,43.1,3.6,2.1,6.9,0.7,4.9,8.2,15.9,12.3,1.0,1.2,25.7,16.3,0.0,48.9,55.8,2,1,0,0,73386,100647,73437,56749,62482,64625,74700,82296,82098,0.0,0.0,0.9,0.9,2.7,38.6,0.0,23.3,19.8,5.7,15.2,26.8,9.9,0.0,0.1,0.0,3.3,3.0,0.0,5.0,5.0,10.0,10.0,7.4,77.3,6.5,3.8,12.4,87.6,13.2,1.7,11.3,19.1,36.9,28.5,2.4,62.2,22.9,0.0,0.2,0.0,7.8,6.9,2.7,59.6,37.7,0.0,89.5,2.1,6.3,0.0,0.0,2.1,0.0,54.0,46.0,15.8
43905001,43905,FRISCO H S,FRISCO ISD,133.5,12.0,9.0,14.2,10.8,18.8,19.7,50.2,26.8,7.2,0.0,78.4,52.1,3.0,154.4,168.5,0,5,0,1,79858,90767,67778,55276,61349,64542,69551,73218,79698,4.0,2.0,5.9,7.9,14.8,98.0,1.0,61.3,72.2,7.7,14.3,90.8,12.6,1.7,0.7,0.8,10.3,16.7,0.0,12.0,12.0,7.2,4.8,43.4,79.2,7.1,5.3,8.4,91.6,25.8,8.1,14.1,14.8,37.6,20.0,5.4,68.0,9.4,1.2,0.5,0.6,7.7,12.5,0.0,58.7,39.0,2.2,73.4,5.9,11.1,1.5,3.0,4.4,0.7,45.9,54.1,15.0
43905002,43905,CENTENNIAL H S,FRISCO ISD,130.9,9.8,8.0,14.3,8.2,24.3,30.5,41.4,21.3,5.2,1.0,79.0,46.1,4.9,148.7,163.1,0,5,0,1,81766,91236,67378,59954,61551,64427,69048,73401,85722,2.0,0.0,6.9,10.8,11.5,97.8,2.0,55.9,75.0,6.6,12.8,80.7,15.2,1.0,0.5,2.0,10.2,21.4,0.0,2.0,2.0,7.8,5.2,47.8,80.3,6.0,4.9,8.8,91.2,29.3,6.2,18.6,23.3,31.6,16.3,4.0,61.6,11.6,0.8,0.4,1.5,7.8,16.3,0.8,60.3,35.2,3.8,74.7,8.3,8.8,0.0,1.5,5.3,1.5,42.7,57.3,15.5
43905005,43905,WAKELAND H S,FRISCO ISD,129.4,11.0,8.5,10.9,7.9,20.5,31.1,48.7,19.3,2.0,0.0,74.9,53.1,1.4,148.9,159.7,0,5,0,1,80192,92948,67149,59957,61472,64356,69504,73854,75215,0.0,1.0,3.9,6.9,10.9,105.2,1.5,56.0,73.4,7.3,12.3,84.3,13.2,1.0,0.2,1.2,11.8,17.8,0.0,8.0,8.0,10.0,8.0,30.0,81.0,6.9,5.3,6.8,93.2,18.8,6.1,15.8,24.0,37.6,14.9,1.5,65.2,10.2,0.8,0.2,0.9,9.1,13.7,0.0,57.9,41.0,1.1,81.3,5.3,8.4,0.8,0.0,3.0,1.2,43.3,56.7,16.7
43905006,43905,LIBERTY H S,FRISCO ISD,122.9,11.1,9.0,12.1,6.2,43.3,22.5,41.3,8.1,1.4,0.0,79.0,42.0,1.9,143.0,155.1,0,5,0,1,77790,89769,65614,59960,61558,64287,68785,75630,85775,1.0,0.0,4.9,6.9,10.8,97.3,2.0,53.2,69.7,5.9,10.0,81.7,12.5,1.0,0.2,1.3,9.7,16.6,0.0,2.0,2.0,9.2,7.0,34.1,79.2,7.1,5.8,7.8,92.2,22.0,5.0,35.3,18.3,33.6,6.6,1.1,66.5,10.2,0.8,0.1,1.0,7.9,13.5,0.0,64.3,34.2,1.5,79.2,5.6,8.8,0.0,0.8,4.0,1.6,43.3,56.7,14.1
43905007,43905,HERITAGE H S,FRISCO ISD,134.9,11.0,8.0,11.7,7.0,27.7,28.3,45.3,22.9,3.7,0.0,82.7,52.2,0.0,153.9,165.5,0,5,0,1,78415,89734,67013,59973,61378,64779,68269,74681,76848,3.0,1.0,2.0,9.3,13.8,104.9,1.0,60.6,74.3,6.2,12.2,89.7,12.1,1.0,0.5,1.1,11.9,18.6,0.0,1.0,1.0,6.4,5.6,41.3,81.5,6.7,4.8,7.0,93.0,24.9,5.2,20.5,21.0,33.6,17.0,2.7,66.5,9.0,0.7,0.3,0.8,8.8,13.8,0.0,61.3,38.7,0.0,77.8,6.9,10.2,0.7,2.2,1.5,0.7,44.9,55.1,15.7
43905008,43905,LONE STAR H S,FRISCO ISD,128.2,10.9,8.5,11.6,3.0,27.3,32.7,48.4,14.7,2.1,0.0,83.6,42.7,2.0,147.6,159.2,0,5,0,1,78451,87048,66847,59967,61443,64409,69430,73931,75440,1.6,0.0,6.3,11.8,16.5,91.0,1.0,58.2,70.0,6.3,11.9,87.7,12.9,1.0,0.4,0.6,11.3,14.3,0.0,3.0,3.0,4.4,2.2,51.7,80.5,6.8,5.4,7.3,92.7,32.5,2.3,21.3,25.5,37.7,11.5,1.7,68.4,10.0,0.8,0.3,0.5,8.8,11.2,0.0,65.2,33.3,1.5,71.0,9.2,12.8,0.0,1.3,4.9,0.8,45.4,54.6,15.2
