city,total,less_than_10000,10000_to_14999,15000_to_19999,20000_to_24999,25000_to_29999,30000_to_34999,35000_to_39999,40000_to_49999,50000_to_59999,60000_to_69999,70000_to_79999,80000_to_89999,90000_to_99999,100000_to_124999,125000_to_149999,150000_to_174999,175000_to_199999,200000_to_249999,250000_to_299999,300000_to_399999,400000_to_499999,500000_to_749999,750000_to_999999,1000000_to_1499999,1500000_to_1999999,2000000_or_more
Allen,25354,71,0,0,28,6,38,31,11,0,14,0,10,16,31,41,149,156,1119,2251,7037,5574,5974,2149,538,0,110
Anna,5296,39,0,0,38,0,14,0,0,134,0,0,54,0,12,0,10,0,856,1252,1883,706,271,27,0,0,0
Blue Ridge,280,0,0,0,4,2,0,0,0,19,0,21,9,11,13,9,21,23,66,45,30,0,2,5,0,0,0
Carrollton,29762,92,1,32,50,46,29,31,39,22,17,47,68,12,243,297,602,603,2967,4406,9853,5368,4101,594,138,0,104
Celina,7812,37,0,0,0,17,0,0,17,0,0,19,19,0,164,0,528,196,393,526,902,1876,2212,429,448,29,0
Dallas,223665,2236,984,1005,805,575,868,799,1263,2324,1504,2487,3603,3581,13352,8508,11420,12177,26240,19972,27330,19599,30805,13807,10322,3504,4595
Fairview,3214,40,0,0,0,0,0,0,8,0,0,0,0,0,22,0,0,0,110,121,478,635,1078,254,255,105,108
Farmersville,1022,0,0,0,0,0,0,13,0,0,0,0,17,0,27,78,30,108,37,425,178,90,19,0,0,0,0
Frisco,49287,276,18,4,0,0,0,8,55,43,56,37,45,0,228,24,28,29,323,1583,6500,8259,18684,8328,3304,853,602
Garland,49809,480,41,120,216,70,29,21,42,258,84,107,176,334,1237,2251,3374,4879,11441,9872,9161,3415,1702,342,55,0,102
Hebron,87,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,14,26,11,4,0,0
Josephine,1366,10,0,0,6,4,0,0,0,0,0,21,0,0,34,24,57,69,385,210,379,114,53,0,0,0,0
Lavon,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,55,378,408,486,264,0,0,0,0
Lowry Crossing,634,4,0,9,0,2,0,0,3,0,0,0,3,0,6,7,8,6,48,84,192,200,49,8,2,0,3
Lucas,2450,13,0,0,0,0,13,0,0,0,0,10,0,0,0,0,0,0,0,79,44,161,654,563,531,208,174
McKinney,44788,320,123,39,95,52,140,0,68,223,54,62,177,52,164,200,199,239,1400,3107,11178,11385,12189,2432,645,137,108
Melissa,4711,106,0,0,0,0,0,0,23,0,0,0,0,0,26,0,60,79,60,474,1130,1312,1341,89,0,0,11
