state_school_id,county,campus,school_type,number_of_students,percent_economically_disadvantaged,percent_eb_el_students,overall_score,metric,value,year,students_group
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,24.0,2022,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,21.5,2022,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,,2022,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,25.6,2023,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,,2023,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,ACT,,2023,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Algebra 1,25.0,2024,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Algebra 1,27.0,2024,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Algebra 1,17.0,2024,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Biology,83.0,2024,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Biology,65.0,2024,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Biology,,2024,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,13.9,2022,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,16.4,2022,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,0.0,2022,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,13.7,2023,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,23.1,2023,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,Chronic Absenteeism,0.0,2023,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",87.4,2022,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",90.9,2022,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",,2022,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",98.8,2023,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",100.0,2023,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,"College, Career, & Military Ready",,2023,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 1,90.0,2024,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 1,84.0,2024,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 1,67.0,2024,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 2,91.0,2024,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 2,71.0,2024,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,English 2,,2024,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,1128.0,2022,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,1087.0,2022,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,,2022,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,1154.0,2023,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,1085.0,2023,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,SAT,,2023,Emergent Bilingual Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,US History,98.0,2024,All Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,US History,100.0,2024,Economically Disadvantaged Students
TX-043910-043910008,Collin,Academy H S,High School,298,19.5,4.4,97.0,US History,,2024,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,25.3,2022,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,23.2,2022,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,14.0,2022,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,25.3,2023,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,23.0,2023,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,ACT,,2023,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Algebra 1,7.0,2024,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Algebra 1,3.0,2024,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Algebra 1,9.0,2024,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Biology,26.0,2024,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Biology,15.0,2024,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Biology,9.0,2024,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,17.7,2022,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,31.5,2022,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,24.4,2022,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,17.6,2023,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,28.2,2023,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,Chronic Absenteeism,24.7,2023,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",77.5,2022,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",54.9,2022,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",50.0,2022,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",81.6,2023,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",63.6,2023,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,"College, Career, & Military Ready",50.0,2023,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 1,12.0,2024,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 1,5.0,2024,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 1,7.0,2024,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 2,80.0,2024,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 2,59.0,2024,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,English 2,35.0,2024,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,1136.0,2022,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,985.0,2022,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,887.0,2022,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,1140.0,2023,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,1008.0,2023,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,SAT,886.0,2023,Emergent Bilingual Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,US History,86.0,2024,All Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,US History,72.0,2024,Economically Disadvantaged Students
TX-043901-043901001,Collin,Allen H S,High School,5273,11.5,6.9,90.0,US History,44.0,2024,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,21.0,2022,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,19.1,2022,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,,2022,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,20.8,2023,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,19.4,2023,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,ACT,,2023,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Algebra 1,58.0,2024,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Algebra 1,52.0,2024,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Algebra 1,59.0,2024,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Biology,59.0,2024,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Biology,48.0,2024,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Biology,46.0,2024,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,22.2,2022,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,25.8,2022,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,15.7,2022,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,21.0,2023,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,25.5,2023,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,Chronic Absenteeism,16.7,2023,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",72.1,2022,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",64.8,2022,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",63.2,2022,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",91.3,2023,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",88.3,2023,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,"College, Career, & Military Ready",73.9,2023,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 1,60.0,2024,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 1,50.0,2024,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 1,46.0,2024,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 2,67.0,2024,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 2,58.0,2024,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,English 2,35.0,2024,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,1028.0,2022,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,987.0,2022,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,833.0,2022,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,934.0,2023,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,897.0,2023,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,SAT,821.0,2023,Emergent Bilingual Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,US History,73.0,2024,All Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,US History,67.0,2024,Economically Disadvantaged Students
TX-043902-043902001,Collin,Anna H S,High School,1487,47.1,11.4,90.0,US History,51.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,22.8,2022,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,,2022,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,,2022,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,21.1,2023,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,,2023,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,ACT,,2023,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Algebra 1,16.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Algebra 1,5.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Algebra 1,0.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Biology,61.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Biology,50.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Biology,25.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,27.4,2022,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,35.3,2022,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,25.0,2022,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,21.1,2023,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,22.5,2023,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,Chronic Absenteeism,9.1,2023,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",95.8,2022,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",100.0,2022,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",,2022,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",93.8,2023,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",91.7,2023,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,"College, Career, & Military Ready",100.0,2023,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,54.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,42.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 1,17.0,2024,Emergent Bilingual Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,66.0,2024,All Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,54.0,2024,Economically Disadvantaged Students
TX-043917-043917001,Collin,Blue Ridge H S,High School,296,56.8,9.1,85.0,English 2,14.0,2024,Emergent Bilingual Students
